index,price_clp,price_uf,price_usd,ubicacion,dorms,baths,built area,total area,parking,id,realtor,comuna_id
4981,256248000,7200,319113,VentaCasa3DormitoriosLaReina,3,1.0,73.0,154.0,1.0,10834564,Invierte Propiedades,13
4982,427080000,12000,531856,Portallareina,3,3.0,133.0,242.0,2.0,9752140,Mi Llave,12
4983,100000000,2810,124533,Casade1PisocercanaaEstaciónMetroEinstein,4,1.0,100.0,211.0,,8476474,Corretajes Prosal,27
4984,462670000,13000,576177,Lasverbenas/pinares,3,2.0,100.0,260.0,,10869761,Unne,12
4985,711444100,19990,885983,MartinDeZamoraSanchezFontecilla,4,2.0,173.0,433.0,1.0,4566400,VALVAL,12
4986,175000000,4917,217933,Elcid,3,3.0,140.0,220.0,3.0,11220235,Todo Propiedades,17
4987,601471000,16900,749030,GeronimodeAlderete,3,2.0,117.0,413.0,2.0,8327074,Kasalu Propiedades,22
4988,387931000,10900,483102,CaminoInteriorLosViñedosYC57231/CaminoLoquen,3,2.0,200.0,5000.0,,6698029,Propiedades Centro Santiago SPA,39
4989,250000000,7024,311333,VentaCasa9DormitoriosConchalí,9,9.0,190.0,190.0,1.0,10511418,Invierte Propiedades,2
4990,1441395000,40500,1795012,Colegiosanbenito.P.Antoniorabat/carolinarabat,6,4.0,392.0,1143.0,,6247302,Francisco Vial Propiedades,22
4991,312836100,8790,389584,PedroFonova,5,4.0,140.0,300.0,,10555326,Vivaqui Propiedades,5
4992,216743100,6090,269917,SantaElena2200,3,2.0,110.0,223.0,,9980994,Grupo Premium Propiedades Santiago,30
4993,313192000,8800,390027,Albertoundurraga,5,3.0,140.0,250.0,2.0,8715173,Unne,5
4994,245571000,6900,305817,Ventacasadospisoscondominiopadrehurtado,3,3.0,110.0,250.0,,10528298,Movahome Corredores Integrados,19
4995,533850000,15000,664819,Leon,3,2.0,180.0,140.0,,11210233,Unne,12
4996,101965350,2865,126981,AmericoVespucio,3,1.0,150.0,347.0,,7438900,Unne,8
4997,128000000,3597,159402,DiputadaLauraRodriguez/Chapilca,3,2.0,72.0,135.0,1.0,10821972,Luz Godoy Propiedades,13
4998,330275200,9280,411302,WarrenSmith/LosMilitares,3,2.0,70.0,183.0,,4659530,Propiedades Ricardo Vial y Cia. Ltda.,12
4999,651297000,18300,811080,Helsby/PadreHurtado,4,3.0,147.0,600.0,2.0,7591224,Sucursal El Bosque Sur,13
5000,80000000,2248,99626,BajosdeMatte,2,2.0,52.0,91.0,1.0,11547799,Corredores Asociados - OpenBrokers,37
5001,247350500,6950,308033,CaminoPeñalolén,3,2.0,130.0,180.0,1.0,11220256,Todo Propiedades,21
